timestamp,device_0,device_1
1671861253571887229,2,42
1671861253574438388,2,42
1671861253576299568,2,42
1671861253578221133,2,42
1671861253580040564,2,42
1671861253582227953,2,30
1671861253586920173,2,30
1671861253589036407,2,30
1671861253591246860,2,30
1671861253593279715,2,30
1671861253595021529,2,30
1671861253596765958,2,30
1671861253598519945,2,30
1671861253600258292,2,30
1671861253602781378,2,30
1671861253605933887,2,30
1671861253608194515,2,30
1671861253610213524,2,30
1671861253612028557,2,30
1671861253613827049,2,30
1671861253615813747,2,30
1671861253617613230,2,30
1671861253619492625,2,30
1671861253621789141,2,30
1671861253630375697,2,30
1671861253636524350,2,30
1671861253638288586,2,30
1671861253640189221,2,30
1671861253642355229,2,30
1671861253644633190,2,30
1671861253646487868,2,30
1671861253648285026,2,30
1671861253650042700,2,30
1671861253651810063,2,30
1671861253653617692,2,30
1671861253655371037,2,30
1671861253657122438,2,30
1671861253658873249,2,30
1671861253660628438,2,30
1671861253663039211,2,30
1671861253666005667,2,30
1671861253667769633,2,30
1671861253669552825,2,30
1671861253671335276,2,30
1671861253673113139,2,30
1671861253674875511,2,30
1671861253676669624,2,30
1671861253678451854,2,30
1671861253680212594,2,30
1671861253682446471,2,30
1671861253684922567,2,30
1671861253687433280,2,30
1671861253689705430,2,30
1671861253691852161,2,30
1671861253693742787,2,30
1671861253695502355,2,30
1671861253697259518,2,30
1671861253699021299,2,30
1671861253700782950,2,30
1671861253702924443,2,30
1671861253705035517,2,30
1671861253706875447,2,30
1671861253708633261,2,30
1671861253710397467,2,30
1671861253712163547,2,30
1671861253713950076,2,30
1671861253715756672,2,30
1671861253717528202,2,30
1671861253719850748,2,30
1671861253722615692,2,30
1671861253725126364,2,30
1671861253727002753,2,30
1671861253728751420,2,30
1671861253730506359,2,30
1671861253732491293,2,30
1671861253734243307,2,30
1671861253736039624,2,30
1671861253737785856,2,30
1671861253739533040,2,30
1671861253741517534,2,30
1671861253743652383,2,30
1671861253745590860,2,30
1671861253747362861,2,30
1671861253749099685,2,30
1671861253750853461,2,30
1671861253752595004,2,30
1671861253754339533,2,30
1671861253756121984,2,30
1671861253757889076,2,30
1671861253759783188,2,30
1671861253762940417,4,30
1671861253766263691,4,30
1671861253768483941,4,30
1671861253778196013,4,25
1671861253788044243,4,25
1671861253790240138,4,25
1671861253792289014,4,25
1671861253794065213,4,25
1671861253795857142,4,25
1671861253797620837,4,25
1671861253799380194,4,25
1671861253801499223,4,25
1671861253804114534,4,25
1671861253806272307,4,25
1671861253808349085,4,25
1671861253810231576,4,25
1671861253811983269,4,25
1671861253813740131,4,25
1671861253815520207,4,25
1671861253817335741,4,25
1671861253819114435,4,25
1671861253820876447,4,25
1671861253823136944,4,25
1671861253825299065,4,25
1671861253827223796,4,25
1671861253829057565,4,25
1671861253830924696,4,25
1671861253832976237,4,25
1671861253834772634,4,25
1671861253836511433,4,25
1671861253838261602,4,25
1671861253840061366,4,25
1671861253842261919,4,25
1671861253844389995,4,25
1671861253846279479,4,25
1671861253848059636,4,25
1671861253849834492,4,25
1671861253851610330,4,25
1671861253853453005,4,25
1671861253855241227,4,25
1671861253856986638,4,25
1671861253858709135,4,25
1671861253860473451,4,25
1671861253862816956,4,25
1671861253865768966,4,25
1671861253867513996,4,25
1671861253869249958,4,25
1671861253870986843,4,25
1671861253873088099,4,25
1671861253875211225,4,25
1671861253877343730,4,25
1671861253879294751,4,25
1671861253881431264,4,25
1671861253884011196,4,25
1671861253886572084,4,25
1671861253888732682,4,25
1671861253890854607,4,25
1671861253892723692,4,25
1671861253894539576,4,25
1671861253896309333,4,25
1671861253898042972,4,25
1671861253899775077,4,25
1671861253901909715,4,25
1671861253904543261,4,25
1671861253906656048,4,25
1671861253908786689,4,25
1671861253910885180,4,25
1671861253913269493,4,25
1671861253915273303,4,25
1671861253923270421,4,25
1671861253930140492,4,25
1671861253931995260,4,25
1671861253933805012,4,25
1671861253935623591,4,25
1671861253937409128,4,25
1671861253939148317,4,25
1671861253940946408,4,25
1671861253943054145,4,25
1671861253944960080,4,25
1671861253946725128,4,25
1671861253948483904,4,25
1671861253950226700,4,25
1671861253951969405,4,25
1671861253953705828,4,25
1671861253955447803,4,25
1671861253957189777,4,25
1671861253958927563,4,25
1671861253960677512,4,25
1671861253962789157,2,25
1671861253965907903,2,25
1671861253967682499,2,25
1671861253969427018,2,25
1671861253971226742,2,25
1671861253972982963,2,25
1671861253974738883,2,25
1671861253976525652,2,25
1671861253978379398,2,25
1671861253980133526,2,25
1671861253982404192,2,42
1671861253986914808,2,42
1671861253989038216,2,42
1671861253991187282,2,42
1671861253993153060,2,42
1671861253994898962,2,42
1671861253996644433,2,42
1671861253998392669,2,42
1671861254000134031,2,42
1671861254002486984,2,42
1671861254004705933,2,42
1671861254006594966,2,42
1671861254008326169,2,42
1671861254010138217,2,42
1671861254011929715,2,42
1671861254013695755,2,42
1671861254015600227,2,42
1671861254017472297,2,42
1671861254019227907,2,42
1671861254021189066,2,42
1671861254024033141,2,42
1671861254026368591,2,42
1671861254028417497,2,42
1671861254030146376,2,42
1671861254031878582,2,42
1671861254033599376,2,42
1671861254035322574,2,42
1671861254037032427,2,42
1671861254038761507,2,42
1671861254040549408,2,42
1671861254042752136,2,42
1671861254044891403,2,42
1671861254046805755,2,42
1671861254048547499,2,42
1671861254050302688,2,42
1671861254052033901,2,42
1671861254053784121,2,42
1671861254055694755,2,42
1671861254058055453,2,42
1671861254059892166,2,42
1671861254068594332,2,42
1671861254074574465,2,42
1671861254076447237,2,42
1671861254078205372,2,42
1671861254079962064,2,42
1671861254082255514,2,42
1671861254084688769,2,42
1671861254087237103,2,42
1671861254089355762,2,42
1671861254091516910,2,42
1671861254093445118,2,42
1671861254095227499,2,42
1671861254096990012,2,42
1671861254098730273,2,42
1671861254100487806,2,42
1671861254103078920,2,42
1671861254105613487,2,42
1671861254107693673,2,42
1671861254109562067,2,42
1671861254111302798,2,42
1671861254113031467,2,42
1671861254115150296,2,42
1671861254116895657,2,42
1671861254118676895,2,42
1671861254120412367,2,42
1671861254122564719,2,42
1671861254124819497,2,42
1671861254126725491,2,42
1671861254128481772,2,42
1671861254130255016,2,42
1671861254132044010,2,42
1671861254133828715,2,42
1671861254135568665,2,42
1671861254137311831,2,42
1671861254139048094,2,42
1671861254140780461,2,42
1671861254142930087,2,42
1671861254144945951,2,42
1671861254146686031,2,42
1671861254148413148,2,42
1671861254150148108,2,42
1671861254151885644,2,42
1671861254153613661,2,42
1671861254155342771,2,42
1671861254157034470,2,42
1671861254158769841,2,42
1671861254160501636,2,42
1671861254162616868,2,42
1671861254164729396,2,42
1671861254166642454,2,42
1671861254168373908,2,42
1671861254170119378,2,42
1671861254172221576,2,42
1671861254174329815,2,42
1671861254176501814,2,42
1671861254182876485,2,30
1671861254186587373,2,30
1671861254188730017,2,30
1671861254190601487,2,30
1671861254192332200,2,30
1671861254194077260,2,30
1671861254196143388,2,30
1671861254198129425,2,30
1671861254199948095,2,30
1671861254202233059,2,30
1671861254210093920,2,30
1671861254214994514,2,30
1671861254216736529,2,30
1671861254218484063,2,30
1671861254220254832,2,30
1671861254222394250,2,30
1671861254224514732,2,30
1671861254226355864,2,30
1671861254228496193,2,30
1671861254230610885,2,30
1671861254232837478,2,30
1671861254234716512,2,30
1671861254236456202,2,30
1671861254238199649,2,30
1671861254239941793,2,30
1671861254242097352,2,30
1671861254244245496,2,30
1671861254246078723,2,30
1671861254247884158,2,30
1671861254249704280,2,30
1671861254251458628,2,30
1671861254253214788,2,30
1671861254254970909,2,30
1671861254256719826,2,30
1671861254258490615,2,30
1671861254260335675,2,30
1671861254262681534,2,30
1671861254264742693,2,30
1671861254266650873,2,30
1671861254268396544,2,30
1671861254270165088,2,30
1671861254271918374,2,30
1671861254273675647,2,30
1671861254275438030,2,30
1671861254277293840,2,30
1671861254279079697,2,30
1671861254280951918,2,30
1671861254283995391,2,30
1671861254286435219,2,30
1671861254288616155,2,30
1671861254290754601,2,30
1671861254292713798,2,30
1671861254294463136,2,30
1671861254296203897,2,30
1671861254297942144,2,30
1671861254299686513,2,30
1671861254301903869,2,30
1671861254304140541,2,30
1671861254306026127,2,30
1671861254307809150,2,30
1671861254309555302,2,30
1671861254311299961,2,30
1671861254313030803,2,30
1671861254315045655,2,30
1671861254316838857,2,30
1671861254318604716,2,30
1671861254320489571,2,30
1671861254323332283,2,30
1671861254325856190,2,30
1671861254327924793,2,30
1671861254329646869,2,30
1671861254331381609,2,30
1671861254333109236,2,30
1671861254334837184,2,30
1671861254336561605,2,30
1671861254338340709,2,30
1671861254340131275,2,30
1671861254342211651,2,30
1671861254344843884,2,30
1671861254346834600,2,30
1671861254353567872,2,30
1671861254358436556,2,30
1671861254360382307,2,30
1671861254362700133,4,30
1671861254365714530,4,30
1671861254367558057,4,30
1671861254369302166,4,30
1671861254371030053,4,30
1671861254373255694,4,30
1671861254375362971,4,30
1671861254377303733,4,30
1671861254379106431,4,30
1671861254381003870,4,24
1671861254386460791,4,24
1671861254388609887,4,24
1671861254390844055,4,24
1671861254392778705,4,24
1671861254394547359,4,24
1671861254396295094,4,24
1671861254398053579,4,24
1671861254399792287,4,24
1671861254402044920,4,24
1671861254404525935,4,24
1671861254406652158,4,24
1671861254409032382,4,24
1671861254410763195,4,24
1671861254412493367,4,24
1671861254414261110,4,24
1671861254416078807,4,24
1671861254417838265,4,24
1671861254419590629,4,24
1671861254421742541,4,24
1671861254424139246,4,24
1671861254426086880,4,24
1671861254427849053,4,24
1671861254429608110,4,24
1671861254431362236,4,24
1671861254433126733,4,24
1671861254434889557,4,24
1671861254436669984,4,24
1671861254438437276,4,24
1671861254440239414,4,24
1671861254442435850,4,24
1671861254444674517,4,24
1671861254446561786,4,24
1671861254448289383,4,24
1671861254450038020,4,24
1671861254451767751,4,24
1671861254453497352,4,24
1671861254455320649,4,24
1671861254457035181,4,24
1671861254458773729,4,24
1671861254460529740,4,24
1671861254462820645,4,24
1671861254465632548,4,24
1671861254470448513,4,24
1671861254472503952,4,24
1671861254474787714,4,24
1671861254476939906,4,24
1671861254478932004,4,24
1671861254480944792,4,24
1671861254483985289,4,24
1671861254487407069,4,24
1671861254490037308,4,24
1671861254492296662,4,24
1671861254494203139,4,24
1671861254502169779,4,24
1671861254508984525,4,24
1671861254510758921,4,24
1671861254512488131,4,24
1671861254514419675,4,24
1671861254516235068,4,24
1671861254517961502,4,24
1671861254519687166,4,24
1671861254521827576,4,24
1671861254524071471,4,24
1671861254525918014,4,24
1671861254528041492,4,24
1671861254530196279,4,24
1671861254532349352,4,24
1671861254534236522,4,24
1671861254535983857,4,24
1671861254537722504,4,24
1671861254539462114,4,24
1671861254541662307,4,24
1671861254543868622,4,24
1671861254545753567,4,24
1671861254547535827,4,24
1671861254549269736,4,24
1671861254551002373,4,24
1671861254552736863,4,24
1671861254554489798,4,24
1671861254556233204,4,24
1671861254557968826,4,24
1671861254559807684,4,24
1671861254562219188,4,24
1671861254564369737,2,24
